2024-11-20 12:57:17,6,1,1,0.4891,0.108099
2024-11-20 12:57:18,4,2,1,0.8069,0.113038
2024-11-20 12:57:31,14,2,1,0.8847,0.130817
2024-11-20 12:57:32,16,2,1,0.928,0.12274
2024-11-20 12:57:37,12,2,1,0.733,0.122372
2024-11-20 12:57:38,14,2,1,0.7086,0.122377
2024-11-20 12:57:39,8,1,1,0.4993,0.1204
2024-11-20 12:57:40,8,2,1,0.7616,0.133091
2024-11-20 12:57:41,12,2,1,0.7825,0.100983
2024-11-20 12:57:42,8,2,1,0.4683,0.101435
2024-11-20 12:58:27,18,0,1,0.7963,0.0464334
2024-11-20 12:58:28,18,1,1,0.645,0.0454383
2024-11-20 12:58:29,20,0,1,0.4127,0.0486905
2024-11-20 12:58:31,12,1,1,0.8571,0.0441977
2024-11-20 12:58:34,10,1,1,0.8067,0.0471988
2024-11-20 12:58:43,12,1,1,0.734,0.0305796
2024-11-20 12:59:04,6,0,1,0.8028,0.0167051
2024-11-20 12:59:05,6,2,1,1.2222,0.0278332
2024-11-20 12:59:37,12,2,1,0.7958,0.0416869
2024-11-20 12:59:45,18,2,1,0.8835,0.0359163
2024-11-20 12:59:46,20,2,0,0.5022,0.196485
2024-11-20 12:59:49,18,2,1,0.4213,0.172075
2024-11-20 12:59:50,14,2,1,0.7494,0.173875
2024-11-20 12:59:52,18,2,1,0.4851,0.170959
2024-11-20 12:59:53,16,1,1,0.7946,0.176841
2024-11-20 12:59:54,24,2,1,0.8116,0.175194
2024-11-20 12:59:55,18,2,1,0.9105,0.170783
2024-11-20 12:59:56,12,2,1,0.4463,0.181182
2024-11-20 12:59:58,14,2,1,0.8175,0.176859
2024-11-20 12:59:59,16,2,1,0.487,0.185304
2024-11-20 13:01:03,14,1,1,0.7168,0.132156
2024-11-20 13:01:05,12,1,1,0.7331,0.129477
2024-11-20 13:01:06,12,1,1,0.7986,0.137281
2024-11-20 13:20:27,12,1,1,0.7331,
2024-11-20 13:20:28,12,2,1,0.7618,
2024-11-20 13:20:30,14,0,1,0.5495,
2024-11-20 13:20:31,6,2,1,0.8616,
2024-11-20 13:20:33,10,1,1,0.8397,
2024-11-20 13:20:34,12,1,1,0.5145,
2024-11-20 13:20:35,8,1,1,0.7127,
2024-11-20 13:20:36,12,1,1,0.7168,
2024-11-20 13:20:37,10,1,1,0.3959,
2024-11-20 13:20:38,10,1,1,0.6512,
2024-11-20 13:20:39,12,1,1,0.3041,
2024-11-20 13:20:40,14,1,1,0.6797,
2024-11-20 13:20:41,56,0,1,0.5008,
2024-11-20 13:20:42,8,0,1,0.8656,
2024-11-20 13:20:43,10,1,1,0.8091,
2024-11-20 13:20:44,12,1,0,0.8988,
2024-11-20 13:20:45,8,1,1,0.4712,
2024-11-20 13:20:46,12,2,0,0.7782,
2024-11-20 13:20:47,12,1,1,0.776,
2024-11-20 13:20:48,8,1,1,0.5913,
2024-11-20 13:20:49,12,1,1,0.8561,
2024-11-20 13:20:50,12,1,1,0.8273,
2024-11-20 13:20:51,10,2,1,0.8478,
2024-11-20 13:20:52,4,2,1,0.8918,
2024-11-20 13:20:53,8,2,1,0.5734,
2024-11-20 13:20:54,6,0,0,0.7966,
2024-11-20 13:20:55,12,0,0,0.791,
2024-11-20 13:20:56,8,1,0,0.8335,
2024-11-20 13:20:57,6,1,1,0.5568,
2024-11-20 13:21:00,6,0,1,0.8458,
2024-11-20 13:21:02,6,1,1,0.7454,
2024-11-20 13:21:03,6,1,0,0.7842,
2024-11-20 13:21:08,14,2,1,0.7577,
2024-11-20 13:21:09,12,1,1,0.4489,
2024-11-20 13:21:10,12,2,1,0.3407,
2024-11-20 13:21:11,8,2,0,0.7577,
2024-11-20 13:21:12,12,1,1,0.8143,
2024-11-20 13:21:13,6,2,1,0.4438,
2024-11-20 13:21:14,8,1,1,0.7905,
2024-11-20 13:21:15,12,2,1,0.7782,
2024-11-20 13:21:16,12,2,1,0.5788,
2024-11-20 13:21:17,10,1,1,0.8071,
2024-11-20 13:21:18,12,2,1,0.7698,
2024-11-20 13:21:19,8,1,1,0.8734,
2024-11-20 13:21:20,8,2,1,0.4423,
2024-11-20 13:21:21,12,0,1,0.7701,
2024-11-20 13:21:22,12,2,1,0.6466,
2024-11-20 13:21:23,6,2,1,0.3908,
2024-11-20 13:21:24,12,0,1,0.7619,
2024-11-20 13:21:25,8,1,1,0.8736,
2024-11-20 13:21:26,10,2,1,0.4673,
2024-11-20 13:21:27,8,2,1,0.7536,
2024-11-20 13:21:28,6,0,1,0.8243,
2024-11-20 13:21:30,6,1,1,0.3998,0.0641754
2024-11-20 13:21:31,6,2,1,0.7208,0.0698647
2024-11-20 13:21:32,8,2,1,0.651,0.0659602
2024-11-20 13:21:35,6,2,1,0.788,0.0615622
2024-11-20 13:21:36,8,2,1,0.5732,0.0632031
2024-11-20 13:21:37,6,1,1,0.721,0.0650908
2024-11-20 13:21:38,20,0,1,0.7414,0.0626965
2024-11-20 13:21:41,8,2,1,0.7769,0.0817796
2024-11-20 13:21:42,8,2,1,0.458,0.0856465
2024-11-20 13:21:43,12,1,1,0.7495,0.0882131
2024-11-20 13:21:44,8,2,1,0.7902,0.0864245
2024-11-20 13:21:45,6,1,1,0.3546,0.0929981
2024-11-20 13:21:46,6,2,1,0.6881,0.0894659
2024-11-20 13:21:47,6,1,1,0.4383,0.0933842
2024-11-20 13:21:48,6,1,1,0.7495,0.0867774
2024-11-20 13:21:49,6,2,1,0.6417,0.0835812
2024-11-20 13:21:50,6,2,0,0.3752,0.0836469
2024-11-20 13:21:51,8,2,0,0.7291,0.0775778
2024-11-20 13:21:54,8,1,1,0.7931,0.0721073
2024-11-20 13:21:55,10,2,0,0.4925,0.07737
2024-11-20 13:21:56,6,2,0,0.77,0.0818257
2024-11-20 13:21:57,10,1,1,0.7374,0.0822382
