2025/1/11 10:41:48,0.7867,1.39
2025/1/11 10:41:49,0.7867,1.39
2025/1/11 10:41:50,0.3001,1.378
2025/1/11 10:41:52,0.522,1.372
2025/1/11 10:41:53,0.3002,1.375
2025/1/11 10:41:54,0.458,1.384
2025/1/11 10:41:55,1.4459,1.396
2025/1/11 10:41:56,1.4459,1.396
2025/1/11 10:41:57,1.9414,1.396
2025/1/11 10:42:02,0.7833,1.405
2025/1/11 10:42:03,0.7577,1.405
2025/1/11 10:45:39,0.8437,1.393
2025/1/11 10:45:40,0.8437,1.393
2025/1/11 10:45:41,0.734,1.39
2025/1/11 10:45:42,0.734,1.39
2025/1/11 10:45:43,1.4581,1.396
2025/1/11 10:45:44,0.8107,1.393
2025/1/11 10:45:45,1.3067,1.396
2025/1/11 10:45:47,0.7454,1.399
2025/1/11 10:45:48,0.7659,1.399
2025/1/11 10:45:49,1.4581,1.402
2025/1/11 10:45:51,0.7209,1.402
2025/1/11 10:45:52,0.7151,1.408
2025/1/11 10:45:55,0.8439,1.414
2025/1/11 10:45:56,1.3538,1.426
2025/1/11 10:45:57,0.784,1.429
2025/1/11 10:45:58,1.4868,1.432
2025/1/11 10:45:59,0.8067,1.438
2025/1/11 10:46:00,0.8067,1.444
2025/1/11 10:46:01,0.6782,1.444
2025/1/11 10:46:02,0.6782,1.447
2025/1/11 10:46:03,0.77,1.45
2025/1/11 10:46:04,0.77,1.453
2025/1/11 10:46:05,1.4009,1.462
2025/1/11 10:46:06,0.7617,1.474
2025/1/11 10:46:07,1.4499,1.474
2025/1/11 10:46:08,0.7905,1.474
2025/1/11 10:46:09,0.7495,1.489
2025/1/11 10:46:10,0.7947,1.48
2025/1/11 10:46:11,0.7781,1.471
2025/1/11 10:46:12,0.7454,1.474
2025/1/11 10:46:13,0.7636,1.483
2025/1/11 10:46:14,0.7027,1.486
2025/1/11 10:46:15,0.7904,1.492
2025/1/11 10:46:16,0.7414,1.495
2025/1/11 10:46:17,0.8191,1.498
2025/1/11 10:46:18,0.8396,1.498
2025/1/11 10:46:19,0.6831,1.498
2025/1/11 10:46:20,0.6831,1.498
2025/1/11 10:46:21,2.0561,1.507
2025/1/11 10:46:22,0.7641,1.495
2025/1/11 10:46:24,0.7741,1.501
2025/1/11 10:46:25,0.7921,1.501
2025/1/11 10:46:26,0.7536,1.498
2025/1/11 10:46:27,0.7905,1.489
2025/1/11 10:46:29,1.3885,1.486
2025/1/11 10:46:30,0.7372,1.477
2025/1/11 10:46:31,0.7166,1.474
2025/1/11 10:46:33,0.8602,1.468
2025/1/11 10:46:34,1.6587,1.471
2025/1/11 10:46:35,0.8643,1.459
2025/1/11 10:46:36,1.5973,1.471
2025/1/11 10:46:37,0.7987,1.468
2025/1/11 10:46:38,0.8109,1.459
2025/1/11 10:46:40,0.8166,1.45
2025/1/11 10:46:41,0.8166,1.447
