2025/1/11 15:25,28,1,0,0.3885
2025/1/11 15:25,38,1,1,0.5037
2025/1/11 15:25,32,1,1,1.0281
2025/1/11 15:25,38,1,1,0.512
2025/1/11 15:25,26,1,1,0.5079
2025/1/11 15:25,34,1,1,0.4833
2025/1/11 15:25,38,2,1,0.4875
2025/1/11 15:25,16,1,1,0.4915
2025/1/11 15:25,18,0,1,0.5079
2025/1/11 15:25,22,2,1,0.5448
2025/1/11 15:25,10,0,1,0.5529
2025/1/11 15:25,14,0,1,0.4979
2025/1/11 15:25,14,1,1,0.5366
2025/1/11 15:25,12,0,1,0.4918
2025/1/11 15:25,12,0,1,0.5448
2025/1/11 15:25,36,1,1,0.5562
2025/1/11 15:25,34,1,0,0.5758
2025/1/11 15:25,18,0,0,0.557
2025/1/11 15:25,20,0,1,0.4741
2025/1/11 15:25,12,2,1,0.5365
2025/1/11 15:25,36,2,1,0.5136
2025/1/11 15:26,20,1,1,0.5077
2025/1/11 15:26,16,1,1,0.5242
2025/1/11 15:26,18,0,1,0.5611
2025/1/11 15:26,36,2,0,0.5366
2025/1/11 15:26,36,0,1,0.5734
2025/1/11 15:26,40,2,1,0.5752
2025/1/11 15:26,32,2,0,0.5652
2025/1/11 15:26,24,1,0,0.5652
2025/1/11 15:26,36,1,0,0.5571
2025/1/11 15:26,38,2,0,0.4864
2025/1/11 15:26,36,1,1,0.5365
2025/1/11 15:26,38,1,0,0.5079
2025/1/11 15:26,12,2,0,0.512
2025/1/11 15:26,38,2,1,0.557
2025/1/11 15:26,24,1,0,0.5652
2025/1/11 15:26,44,2,1,0.5898
2025/1/11 15:26,44,2,1,0.493
2025/1/11 15:26,34,2,1,0.5395
2025/1/11 15:26,28,1,1,0.5283
2025/1/11 15:26,34,1,1,0.5202
2025/1/11 15:26,38,1,1,0.5366
2025/1/11 15:26,34,1,0,0.5407
2025/1/11 15:26,48,1,1,0.4905
2025/1/11 15:26,12,0,1,0.5283
2025/1/11 15:26,34,2,1,0.5284
2025/1/11 15:26,20,1,1,0.5448
2025/1/11 15:26,32,1,1,0.5259
2025/1/11 15:26,12,0,1,0.5161
2025/1/11 15:26,24,1,0,0.5161
2025/1/11 15:26,28,1,1,0.5365
2025/1/11 15:26,24,1,1,0.5693
2025/1/11 15:26,30,2,1,0.5734
2025/1/11 15:26,32,2,1,0.5693
2025/1/11 15:26,28,1,1,0.5692
2025/1/11 15:26,24,1,0,0.553
2025/1/11 15:26,38,1,1,0.5325
2025/1/11 15:26,36,1,1,0.5243
2025/1/11 15:26,36,1,0,0.481
2025/1/11 15:26,42,2,1,0.5347
2025/1/11 15:26,36,1,0,0.5406
2025/1/11 15:26,38,1,0,0.5366
2025/1/11 15:26,34,1,0,0.557
2025/1/11 15:27,34,1,1,0.5612
2025/1/11 15:27,32,1,0,0.5179
2025/1/11 15:27,34,1,1,0.5775
2025/1/11 15:27,34,2,1,0.5366
2025/1/11 15:27,28,1,1,0.5323
2025/1/11 15:27,38,2,1,0.5325
2025/1/11 15:27,30,2,0,0.5325
2025/1/11 15:27,46,1,0,0.5406
2025/1/11 15:27,24,1,0,0.5191
2025/1/11 15:27,32,2,0,0.5611
2025/1/11 15:27,38,1,1,0.5324
2025/1/11 15:27,26,1,1,0.5242
2025/1/11 15:27,36,2,0,0.5283
2025/1/11 15:27,38,1,1,0.5366
2025/1/11 15:27,38,1,0,0.5365
2025/1/11 15:27,32,1,0,0.4868
2025/1/11 15:27,40,1,0,0.5283
2025/1/11 15:27,20,1,1,0.5427
2025/1/11 15:27,38,1,1,0.553
2025/1/11 15:27,36,2,0,0.5612
2025/1/11 15:27,26,1,0,0.5734
2025/1/11 15:27,28,2,0,0.5652
2025/1/11 15:27,20,1,1,0.5447
2025/1/11 15:27,26,1,1,0.5488
2025/1/11 15:27,6,2,1,0.5448
2025/1/11 15:27,42,1,1,0.4997
2025/1/11 15:27,20,1,1,0.5325
2025/1/11 15:27,20,2,1,0.5618
2025/1/11 15:27,42,1,1,0.536
2025/1/11 15:27,10,0,1,0.5038
2025/1/11 15:27,18,2,1,0.4874
2025/1/11 15:27,36,2,1,0.4793
2025/1/11 15:27,38,2,1,0.512
2025/1/11 15:27,34,1,0,0.5529
2025/1/11 15:27,36,1,1,0.5147
2025/1/11 15:27,42,1,1,0.5406
2025/1/11 15:27,36,1,0,0.5324
2025/1/11 15:27,32,1,0,0.5242
2025/1/11 15:27,36,2,1,0.512
2025/1/11 15:27,34,1,1,0.5119
2025/1/11 15:27,18,1,1,0.4833
2025/1/11 15:27,36,1,1,0.4914
2025/1/11 15:27,20,0,1,0.5283
2025/1/11 15:27,14,1,1,0.5324
2025/1/11 15:27,20,0,1,0.5365
2025/1/11 15:28,36,1,1,1.1902
2025/1/11 15:28,28,2,1,0.6693
2025/1/11 15:28,34,2,1,0.4628
2025/1/11 15:28,28,1,1,0.4669
2025/1/11 15:28,28,2,1,0.4792
2025/1/11 15:28,38,1,1,0.4832
2025/1/11 15:28,36,2,1,0.4792
2025/1/11 15:28,38,0,1,0.4751
2025/1/11 15:28,32,2,1,0.4874
2025/1/11 15:28,38,0,1,0.5078
2025/1/11 15:28,30,1,1,0.5488
2025/1/11 15:28,20,2,1,0.5242
2025/1/11 15:28,36,1,1,0.5283
2025/1/11 15:28,32,1,1,0.5079
2025/1/11 15:28,40,1,1,0.5201
2025/1/11 15:28,30,1,0,0.4445
2025/1/11 15:28,14,2,1,0.4376
2025/1/11 15:28,28,1,0,0.4418
2025/1/11 15:28,34,1,0,0.5584
2025/1/11 15:30,38,1,1,0.5488
2025/1/11 15:30,36,2,0,0.5284
2025/1/11 15:30,28,1,1,0.5447
2025/1/11 15:30,40,1,1,0.5529
2025/1/11 15:30,36,2,1,0.5406
2025/1/11 15:30,40,1,1,0.5406
2025/1/11 15:30,36,1,0,0.5107
2025/1/11 15:30,28,1,1,0.5817
2025/1/11 15:30,28,2,1,0.5906
2025/1/11 15:30,32,2,1,0.5726
2025/1/11 15:30,34,2,0,0.5087
2025/1/11 15:30,34,1,0,0.5324
2025/1/11 15:30,34,2,1,0.5365
2025/1/11 15:30,32,1,0,0.5123
2025/1/11 15:30,34,2,0,0.5202
2025/1/11 15:30,34,2,0,0.5375
2025/1/11 15:30,30,1,0,0.5406
2025/1/11 15:30,8,2,1,0.547
2025/1/11 15:30,32,1,0,0.5652
2025/1/11 15:30,30,1,0,0.5653
2025/1/11 15:30,30,1,0,0.5652
2025/1/11 15:30,28,1,0,0.4975
2025/1/11 15:30,24,1,1,0.557
2025/1/11 15:30,26,1,0,0.5693
2025/1/11 15:30,22,1,1,0.5652
2025/1/11 15:30,32,2,0,0.5529
2025/1/11 15:30,34,2,0,0.5452
2025/1/11 15:30,28,1,1,0.3482
2025/1/11 15:30,18,1,1,0.6021
2025/1/11 15:30,24,1,0,0.5857
2025/1/11 15:30,6,2,1,0.6021
2025/1/11 15:30,34,2,0,0.5816
2025/1/11 15:30,26,1,0,0.5627
2025/1/11 15:30,28,1,0,0.5653
2025/1/11 15:30,26,1,0,0.5653
2025/1/11 15:30,30,1,0,0.5815
2025/1/11 15:30,28,1,0,0.5774
2025/1/11 15:30,20,1,1,0.6021
2025/1/11 15:30,26,1,0,0.5938
2025/1/11 15:30,32,1,0,0.4921
2025/1/11 15:30,28,1,0,0.5611
2025/1/11 15:30,24,1,1,0.5774
2025/1/11 15:30,28,2,0,0.5734
2025/1/11 15:30,20,1,0,0.5335
2025/1/11 15:30,20,1,1,0.5672
2025/1/11 15:30,20,1,1,0.5939
2025/1/11 15:30,24,2,1,0.5775
2025/1/11 15:30,24,1,0,0.5693
2025/1/11 15:30,30,1,0,0.5776
2025/1/11 15:31,8,2,1,0.5897
2025/1/11 15:31,24,2,0,0.5816
2025/1/11 15:31,22,1,0,0.5653
2025/1/11 15:31,20,1,1,0.6021
2025/1/11 15:31,8,2,0,0.6061
2025/1/11 15:31,18,1,1,0.5817
2025/1/11 15:31,20,2,0,0.5448
2025/1/11 15:31,20,2,0,0.557
2025/1/11 15:31,30,1,0,0.5493
2025/1/11 15:31,6,0,1,0.6018
2025/1/11 15:31,20,1,0,0.5819
2025/1/11 15:31,26,1,1,0.5276
2025/1/11 15:31,28,1,0,0.5776
2025/1/11 15:31,28,1,0,0.5816
2025/1/11 15:31,30,1,0,0.6062
2025/1/11 15:31,24,2,0,0.6348
2025/1/11 15:31,24,2,0,0.5375
2025/1/11 15:31,20,2,1,0.6307
2025/1/11 15:31,26,2,0,0.623
2025/1/11 15:31,26,1,0,0.6103
2025/1/11 15:31,20,1,0,0.557
2025/1/11 15:31,28,1,1,0.5436
2025/1/11 15:31,6,2,1,0.5336
2025/1/11 15:31,20,2,0,0.5472
2025/1/11 15:31,20,1,0,0.639
2025/1/11 15:31,22,1,1,0.6389
2025/1/11 15:31,24,1,0,0.6422
2025/1/11 15:31,20,1,0,0.6267
2025/1/11 15:31,28,1,0,0.5735
2025/1/11 15:31,20,1,1,0.5682
2025/1/11 15:31,24,1,0,0.5692
2025/1/11 15:31,26,2,1,0.4788
2025/1/11 15:31,30,2,0,0.544
2025/1/11 15:31,26,1,1,0.5447
2025/1/11 15:31,20,2,0,0.5894
2025/1/11 15:31,28,2,1,0.5899
2025/1/11 15:31,22,1,0,0.6056
2025/1/11 15:31,32,1,1,0.643
2025/1/11 15:31,28,2,0,0.6103
2025/1/11 15:31,20,2,0,0.602
2025/1/11 15:31,24,1,1,0.5816
2025/1/11 15:31,24,2,1,0.5894
2025/1/11 15:31,30,2,0,0.5601
2025/1/11 15:31,28,1,0,0.5447
2025/1/11 15:31,28,1,1,0.5447
2025/1/11 15:31,24,1,0,2.3469
2025/1/11 15:31,20,2,1,0.6678
2025/1/11 15:31,28,1,0,0.5532
2025/1/11 15:31,28,1,1,0.6267
2025/1/11 15:31,34,1,0,0.6144
2025/1/11 15:31,34,2,0,0.6226
2025/1/11 15:31,28,1,0,0.6021
2025/1/11 15:31,30,1,1,0.6021
2025/1/11 15:31,6,2,0,0.598
2025/1/11 15:31,30,1,1,0.5734
2025/1/11 15:31,26,1,0,0.5858
2025/1/11 15:31,38,1,0,0.542
2025/1/11 15:32,26,1,1,0.6142
2025/1/11 15:32,34,1,0,0.598
2025/1/11 15:32,30,1,1,0.5106
2025/1/11 15:32,30,1,0,0.5892
2025/1/11 15:32,28,1,0,0.5856
2025/1/11 15:32,34,1,0,0.5776
2025/1/11 15:32,20,1,1,0.5572
2025/1/11 15:32,24,1,1,0.5529
2025/1/11 15:32,44,2,1,0.5325
2025/1/11 15:32,36,1,0,0.5569
2025/1/11 15:32,34,1,0,0.5939
2025/1/11 15:32,34,1,0,0.6185
2025/1/11 15:32,34,1,0,0.6021
2025/1/11 15:32,28,1,1,0.6244
2025/1/11 15:32,20,1,1,0.5898
2025/1/11 15:32,32,1,1,0.5776
2025/1/11 15:32,26,1,1,0.5734
2025/1/11 15:32,32,2,1,0.5652
2025/1/11 15:32,24,2,1,0.5611
2025/1/11 15:32,34,2,1,0.5612
2025/1/11 15:32,32,1,0,0.5693
2025/1/11 15:32,36,1,1,0.5898
2025/1/11 15:32,28,1,1,0.6062
2025/1/11 15:32,28,1,1,0.5916
2025/1/11 15:32,28,1,0,0.6266
2025/1/11 15:32,36,1,0,0.6185
2025/1/11 15:32,30,2,1,0.5815
2025/1/11 15:32,24,1,0,0.5529
2025/1/11 15:32,34,1,1,0.5406
2025/1/11 15:32,34,1,0,0.557
2025/1/11 15:32,6,2,1,0.5795
2025/1/11 15:32,36,1,0,0.5774
2025/1/11 15:32,12,2,1,0.5571
2025/1/11 15:32,36,1,0,0.5693
2025/1/11 15:32,34,1,0,0.5633
2025/1/11 15:32,26,1,0,0.5909
2025/1/11 15:32,36,1,0,0.5969
2025/1/11 15:32,28,1,0,0.533
2025/1/11 15:32,20,1,0,0.6021
2025/1/11 15:32,32,1,0,0.5939
2025/1/11 15:32,28,1,1,0.4941
2025/1/11 15:32,28,2,1,0.5775
2025/1/11 15:32,26,2,1,0.5652
2025/1/11 15:32,34,1,1,0.5493
2025/1/11 15:32,36,1,0,0.532
2025/1/11 15:32,34,1,0,0.4801
2025/1/11 15:32,30,1,1,0.5693
2025/1/11 15:32,34,1,0,0.5816
2025/1/11 15:32,34,2,0,0.5734
2025/1/11 15:32,34,2,0,0.5413
2025/1/11 15:32,28,2,1,0.598
2025/1/11 15:32,26,1,1,0.5817
2025/1/11 15:32,22,2,1,0.5775
2025/1/11 15:32,36,2,1,0.5571
2025/1/11 15:32,42,1,1,0.5243
2025/1/11 15:32,36,2,1,0.5529
2025/1/11 15:32,34,1,0,0.6307
2025/1/11 15:32,40,1,1,0.688
2025/1/11 15:32,24,0,1,0.6594
2025/1/11 15:33,34,1,1,0.6348
2025/1/11 15:33,40,1,0,0.6512
2025/1/11 15:33,40,2,0,0.5795
